BGC_ANALYSIS:ANTISMASH_ANALYSIS:GET_ANTISMASH_VERSION	COMPLETED	1.5s	1	166.1 MB
BGC_ANALYSIS:ANTISMASH_ANALYSIS:PEPM_MAKEDB	COMPLETED	27ms	1	3.4 MB
BGC_ANALYSIS:ANTISMASH_ANALYSIS:PEPM_PRESCREEN (144 genomes)	COMPLETED	1m 8s	4	2.5 GB
BGC_ANALYSIS:ANTISMASH_ANALYSIS:PEPM_PRESCREEN (200 genomes)	COMPLETED	1m 31s	4	3.3 GB
BGC_ANALYSIS:ANTISMASH_ANALYSIS:BUILD_PROTEIN_POOL (Erwiniaceae)	COMPLETED	23.1s	1	153.4 MB
BGC_ANALYSIS:ANTISMASH_ANALYSIS:RECOVER_ORFS (193 genomes)	COMPLETED	5m 56s	4	222.8 MB
BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (50 genomes)	COMPLETED	42m 42s	2	4.9 GB
BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (50 genomes)	COMPLETED	45m 24s	2	4.9 GB
BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (43 genomes)	COMPLETED	36m 30s	2	4.9 GB
BGC_ANALYSIS:ANTISMASH_ANALYSIS:ANTISMASH (50 genomes)	COMPLETED	45m 8s	2	4.8 GB
BGC_ANALYSIS:TABULATE_REGIONS (Erwiniaceae)	COMPLETED	5s	1	66.3 MB
BGC_ANALYSIS:COUNT_REGIONS (Erwiniaceae)	COMPLETED	5.4s	1	66.7 MB
BGC_ANALYSIS:CLUSTERING:BIGSCAPE (Erwiniaceae)	ABORTED	-	8	-
BGC_ANALYSIS:AGGREGATE_TAXONOMY (Aggregating BGC statistics by taxonomy)	FAILED	1.2s	1	-
